designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag
Gaia DR3 6670056967712828288,6670056967712828288,298.80967940506497,-49.66757399015196,0.7692126991250966,0.03845963,1.0285276,10993.204482290603,4.1738243,2633.8445,15.584556,5641.668674395448,15.947847,353.7574,15.960023,7607.4026610699,17.708519,429.59,15.044805
Gaia DR3 2115476971892027392,2115476971892027392,274.26289983336886,45.865965997635335,0.375156795618071,0.018757347,1.0395732,17961.685791731183,4.5488267,3948.6416,15.051499,8504.175675803772,17.753466,479.01495,15.5144615,13414.693424058649,14.893132,900.73016,14.428944
Gaia DR3 4038076097970032000,4038076097970032000,274.58166485676793,-36.69901737882737,1.221055071159057,0.061051156,1.0477728,6095.188619327514,3.937108,1548.1385,16.2249,2480.1603293070843,8.428257,294.2673,16.852343,5129.81388088542,10.063101,509.76474,15.472642
Gaia DR3 2945926593841499008,2945926593841499008,102.90706907869138,-17.98428870302687,0.5338301610761274,0.026690809,0.97760034,14695.423603350091,3.4929192,4207.204,15.269412,6264.879757278918,11.122431,563.2653,15.84626,12232.568813438982,10.135157,1206.9442,14.529101
Gaia DR3 6038026309331207808,6038026309331207808,245.43145010546704,-29.89275060850108,0.7390993640384736,0.036954,0.982276,11120.085588088701,4.313561,2577.9363,15.572097,4741.612018795067,9.592541,494.302,16.148727,9203.475831683996,13.714175,671.09216,14.838016
Gaia DR3 6008090494663299712,6008090494663299712,235.5497117541708,-40.72200646384619,0.8609313476017617,0.04304544,1.049861,9251.178041062756,3.2541392,2842.8955,15.771874,3900.0599336226346,7.7297606,504.55118,16.360865,7774.411411488967,11.799779,658.8608,15.021227
Gaia DR3 6732904979340715904,6732904979340715904,278.13834713827515,-38.27664952459002,0.7018992270415887,0.03509404,0.9147788,12430.923315374699,5.104627,2435.2266,15.451108,6217.036156392737,16.881119,368.28342,15.854584,8846.235102857527,15.026817,588.69653,14.881
Gaia DR3 4057609746627133184,4057609746627133184,267.2160202151635,-28.394123580464225,0.727109919142332,0.03635454,0.9844468,13135.100139239059,4.5056434,2915.2551,15.391283,4753.10058962517,24.957458,190.4481,16.1461,12814.556189339462,39.755516,322.33405,14.478637
Gaia DR3 5879042223668349312,5879042223668349312,221.85926074345613,-59.268312278857685,1.0377811303572015,0.05188769,0.9521942,4826.729441113236,2.2754774,2121.194,16.478235,1874.3836639456413,5.9875503,313.04684,17.156397,4279.659719897879,6.695985,639.1382,15.669373
Gaia DR3 1803870463138417664,1803870463138417664,307.7732298079382,13.082467261539865,1.4671969752909984,0.07335792,1.092559,3201.938090534577,1.9920466,1607.3611,16.923834,1084.987452869841,6.477674,167.49646,17.74998,3066.2239264220148,12.149245,252.37979,16.031385
Gaia DR3 5981100336060004096,5981100336060004096,239.0663503516148,-53.020237028858695,0.6381854085128363,0.03190843,0.90794706,13130.84764896374,3.5407062,3708.5393,15.391635,3973.9514502891006,7.072687,561.8729,16.340487,13494.719964929385,9.915867,1360.9219,14.422485
Gaia DR3 5912509223002733440,5912509223002733440,261.40583060690415,-60.002666132570674,0.45810250167267663,0.022904519,1.3196383,542103.2268111886,231.20532,2344.683,11.352162,176004.95716367898,160.81068,1094.4855,12.22473,530989.8098617861,285.46454,1860.0902,10.43518
Gaia DR3 5277612352554646912,5277612352554646912,122.26667702496002,-62.62155946375563,1.0520851841168195,0.05260287,0.98867893,3330.481557210457,1.7576166,1894.8851,16.8811,1281.6202722849641,7.473627,171.48572,17.569143,2912.1528930159607,7.8379784,371.54388,16.08736
Gaia DR3 2228654823340989056,2228654823340989056,348.63677786934295,72.97201444474584,0.3632637025598467,0.018162707,0.9325455,20467.821440314732,4.839952,4228.9307,14.909688,10977.981565267004,15.129669,725.59296,15.237236,13707.283887373063,13.6762705,1002.2677,14.405517
Gaia DR3 3876342850908750336,3876342850908750336,156.21112588073797,9.82369419944378,1.2371711816177575,0.061856925,1.060472,6887.614817411816,4.821361,1428.5624,16.092196,2379.9854661669942,17.699965,134.46272,16.897106,6450.7277635009095,13.511128,477.4381,15.223874
Gaia DR3 4265503682921972480,4265503682921972480,285.33982994289124,-0.7687289038703439,0.3824181677456377,0.019120404,0.972175,301429.5616871008,84.657715,3560.568,11.989402,67517.55793666176,107.70864,626.8537,13.265,348149.0383479725,175.29945,1986.0247,10.893482
